State,Livestock,Livestock title,Variety,Year,Unit,Value
Texas,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2021,Percent of all cattle,42
Nebraska,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2021,Percent of all livestock,73
Iowa,Chickens,Genetically engineered (GE) chickens,Growth hormone-enhanced,2023,Percent of all cattle,66
Kansas,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2018,Percent of all pigs,23
Texas,Cattle,Genetically engineered (GE) chickens,High-yield,2013,Percent of all chickens,28
Iowa,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2020,Percent of all livestock,33
Iowa,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2014,Percent of all cattle,85
Nebraska,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2018,Percent of all pigs,18
California,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2015,Percent of all livestock,89
California,Pigs,Genetically engineered (GE) cattle,High-yield,2011,Percent of all pigs,59
Nebraska,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2014,Percent of all livestock,32
Iowa,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2013,Percent of all chickens,33
Kansas,Pigs,Genetically engineered (GE) chickens,High-yield,2012,Percent of all livestock,99
California,Chickens,Genetically engineered (GE) pigs,High-yield,2023,Percent of all pigs,57
Nebraska,Cattle,Genetically engineered (GE) cattle,Disease-resistant,2015,Percent of all chickens,53
Texas,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2016,Percent of all livestock,78
Kansas,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2015,Percent of all pigs,87
Nebraska,Cattle,Genetically engineered (GE) cattle,High-yield,2020,Percent of all livestock,57
Nebraska,Cattle,Genetically engineered (GE) cattle,High-yield,2016,Percent of all pigs,43
Texas,Cattle,Genetically engineered (GE) pigs,Growth hormone-enhanced,2010,Percent of all cattle,54
Kansas,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2024,Percent of all pigs,16
Nebraska,Chickens,Genetically engineered (GE) cattle,High-yield,2024,Percent of all livestock,16
Iowa,Pigs,Genetically engineered (GE) cattle,Growth hormone-enhanced,2013,Percent of all livestock,32
Texas,Cattle,Genetically engineered (GE) cattle,Growth hormone-enhanced,2014,Percent of all pigs,98
Nebraska,Pigs,Genetically engineered (GE) chickens,Disease-resistant,2018,Percent of all pigs,8
California,Cattle,Genetically engineered (GE) chickens,Disease-resistant,2021,Percent of all cattle,78
Iowa,Chickens,Genetically engineered (GE) pigs,Disease-resistant,2014,Percent of all chickens,28
Iowa,Chickens,Genetically engineered (GE) cattle,Disease-resistant,2017,Percent of all livestock,97
Nebraska,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2012,Percent of all cattle,68
Texas,Pigs,Genetically engineered (GE) pigs,Disease-resistant,2014,Percent of all livestock,92
California,Cattle,Genetically engineered (GE) pigs,Disease-resistant,2016,Percent of all chickens,20
Texas,Chickens,Genetically engineered (GE) chickens,Disease-resistant,2023,Percent of all chickens,65
California,Chickens,Genetically engineered (GE) pigs,High-yield,2018,Percent of all livestock,28
Kansas,Cattle,Genetically engineered (GE) cattle,High-yield,2021,Percent of all livestock,90
Iowa,Chickens,Genetically engineered (GE) pigs,High-yield,2019,Percent of all livestock,32
Nebraska,Pigs,Genetically engineered (GE) pigs,Growth hormone-enhanced,2021,Percent of all pigs,66
Texas,Pigs,Genetically engineered (GE) cattle,Disease-resistant,2022,Percent of all cattle,65
Iowa,Pigs,Genetically engineered (GE) pigs,High-yield,2011,Percent of all livestock,15
